rna_counts_matrix	erv_counts_matrix	sample_id	read1	read2	seq_batch	tissue	genotype	condition	treatment	mouse	dpi	experiment	germ-free
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S28_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S28	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S28/S28_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S28/S28_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1057	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S29_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S29	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S29/S29_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S29/S29_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1058	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S30_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S30	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S30/S30_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S30/S30_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1067	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S31_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S31	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S31/S31_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S31/S31_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1055	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S32_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S32	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S32/S32_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S32/S32_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1055	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S33_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S33	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S33/S33_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S33/S33_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1056	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S34_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S34	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S34/S34_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S34/S34_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1057	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S35_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S35	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S35/S35_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S35/S35_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1058	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S36_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S36	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S36/S36_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S36/S36_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1067	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S37_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S37	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S37/S37_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S37/S37_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1055	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S38_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S38	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S38/S38_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S38/S38_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1055	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S39_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S39	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S39/S39_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S39/S39_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1056	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S40_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S40	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S40/S40_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S40/S40_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1058	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S41_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S41	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S41/S41_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S41/S41_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1068	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S42_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S42	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S42/S42_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S42/S42_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1079	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S43_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S43	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S43/S43_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S43/S43_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1055	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S44_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S44	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S44/S44_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S44/S44_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1056	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S45_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S45	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S45/S45_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S45/S45_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1057	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S46_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S46	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S46/S46_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S46/S46_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1058	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S47_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S47	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S47/S47_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S47/S47_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1068	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S48_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S48	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S48/S48_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S48/S48_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1079	5	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S49_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S49	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S49/S49_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S49/S49_2.fq.gz	2	Ileum	TrexWT	notapplicable	PBS	GFB6	3	LZ136	yes
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S50_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S50	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S50/S50_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S50/S50_2.fq.gz	2	Ileum	TrexWT	notapplicable	PBS	GFB6	3	LZ136	yes
